"species.code";"analysis";"rate";"value";"replicate"
"BEMA";"both_decrease";"germination.rate";0,195173544335638;1
"BEMA";"both_decrease";"seed.survival";0,286954593558222;1
"CETE";"both_decrease";"germination.rate";0,345173544335638;1
"CETE";"both_decrease";"seed.survival";0,01;1
"CHFU";"both_decrease";"germination.rate";0,615173544335638;1
"CHFU";"both_decrease";"seed.survival";0,236954593558222;1
"CHMI";"both_decrease";"germination.rate";0,575173544335638;1
"CHMI";"both_decrease";"seed.survival";0,176954593558222;1
"HOMA";"both_decrease";"germination.rate";0,755173544335638;1
"HOMA";"both_decrease";"seed.survival";0,106954593558222;1
"LEMA";"both_decrease";"germination.rate";0,705173544335638;1
"LEMA";"both_decrease";"seed.survival";0,186954593558222;1
"LYTR";"both_decrease";"germination.rate";0,435173544335638;1
"LYTR";"both_decrease";"seed.survival";0,366954593558222;1
"MEEL";"both_decrease";"germination.rate";0,405173544335638;1
"MEEL";"both_decrease";"seed.survival";0,456954593558222;1
"MESU";"both_decrease";"germination.rate";0,585173544335638;1
"MESU";"both_decrease";"seed.survival";0,486954593558222;1
"PAIN";"both_decrease";"germination.rate";0,145173544335638;1
"PAIN";"both_decrease";"seed.survival";0,456954593558222;1
"PLCO";"both_decrease";"germination.rate";0,655173544335638;1
"PLCO";"both_decrease";"seed.survival";0,426954593558222;1
"POMA";"both_decrease";"germination.rate";0,665173544335638;1
"POMA";"both_decrease";"seed.survival";0,316954593558222;1
"POMO";"both_decrease";"germination.rate";0,725173544335638;1
"POMO";"both_decrease";"seed.survival";0,346954593558222;1
"PUPA";"both_decrease";"germination.rate";0,655173544335638;1
"PUPA";"both_decrease";"seed.survival";0,406954593558222;1
"SASO";"both_decrease";"germination.rate";0,335173544335638;1
"SASO";"both_decrease";"seed.survival";0,156954593558222;1
"SCLA";"both_decrease";"germination.rate";0,505173544335638;1
"SCLA";"both_decrease";"seed.survival";0,266954593558222;1
"SOAS";"both_decrease";"germination.rate";0,415173544335638;1
"SOAS";"both_decrease";"seed.survival";0,146954593558222;1
"SPRU";"both_decrease";"germination.rate";0,255173544335638;1
"SPRU";"both_decrease";"seed.survival";0,266954593558222;1
"SUSP";"both_decrease";"germination.rate";0,425173544335638;1
"SUSP";"both_decrease";"seed.survival";0,436954593558222;1
"BEMA";"both_increase";"germination.rate";0,564826455664362;1
"BEMA";"both_increase";"seed.survival";0,573045406441778;1
"CETE";"both_increase";"germination.rate";0,714826455664362;1
"CETE";"both_increase";"seed.survival";0,243045406441778;1
"CHFU";"both_increase";"germination.rate";0,984826455664362;1
"CHFU";"both_increase";"seed.survival";0,523045406441778;1
"CHMI";"both_increase";"germination.rate";0,944826455664362;1
"CHMI";"both_increase";"seed.survival";0,463045406441778;1
"HOMA";"both_increase";"germination.rate";1;1
"HOMA";"both_increase";"seed.survival";0,393045406441778;1
"LEMA";"both_increase";"germination.rate";1;1
